phase_name,dt_s,t_cmd_nm,grade,p_aux_w,time_s,v_mps,v_kph,a_mps2,soc,motor_torque_actual_nm,motor_speed_rpm,battery_power_w,cumulative_energy_kwh,f_roll_n,f_aero_n,f_grade_n,f_drive_n,f_net_n
平路加速,0.1,180.0,0.0,800.0,0.1,0.30582330791788853,1.1009639085043987,3.058233079178885,0.8499992051728996,180.0,89.4960515021698,1716.82653671036,4.7689626019732225e-05,194.23800000000003,0.0,0.0,5240.322580645161,5046.084580645161
平路加速,0.1,180.0,0.0,800.0,0.2,0.6116444007834481,2.201919842820413,3.058210928655595,0.8499975614354137,180.0,178.99145479201508,3550.472969634091,0.00014631387517623475,194.23800000000003,0.036548363428818495,0.0,5240.322580645161,5046.048032281732
平路加速,0.1,180.0,0.0,800.0,0.30000000000000004,0.9174588485561942,3.302851854802299,3.058144477727461,0.8499950687998393,180.0,268.4849134636666,5384.092840762252,0.0002958720096418529,194.23800000000003,0.1461923948503824,0.0,5240.322580645161,5045.938388250311
平路加速,0.1,180.0,0.0,800.0,0.4,1.2232622214844189,4.403743997343908,3.0580337292822466,0.8499917272907702,180.0,357.9751311957624,7217.659589357376,0.0004963625537906689,194.23800000000003,0.32892732945224795,0.0,5240.322580645161,5045.7556533157085
平路加速,0.1,180.0,0.0,800.0,0.5,1.5290500903618536,5.504580325302673,3.057878688774347,0.8499875369450955,180.0,447.46081182655803,9051.1466571829,0.0007477832942679717,194.23800000000003,0.5847441674877343,0.0,5240.322580645161,5045.499836477673
平路加速,0.1,180.0,0.0,800.0,0.6,1.8348180267842733,6.605344896423384,3.0576793642241973,0.8499824978119983,180.0,536.9406594290186,10884.52749004186,0.0010501312801024679,194.23800000000003,0.9136296752344788,0.0,5240.322580645161,5045.170950969926
平路加速,0.1,180.0,0.0,800.0,0.7,2.1405616034060118,7.706021772261643,3.0574357662173846,0.8499766099529523,180.0,626.413378385886,12717.775539315198,0.0014034028228612234,194.23800000000003,1.315566386474233,0.0,5240.322580645161,5044.769014258686
平路加速,0.1,180.0,0.0,800.0,0.7999999999999999,2.4462763941963552,8.80659501910688,3.0571479079034347,0.8499698734417193,180.0,715.8776734647087,14550.864263499383,0.0018075934968473173,194.23800000000003,1.790532604493617,0.0,5240.322580645161,5044.294048040667
平路加速,0.1,180.0,0.0,800.0,0.8999999999999999,2.7519579746957827,9.907048708904819,3.056815804994275,0.8499622883643444,180.0,805.3322498928293,16383.767129743259,0.0022626981393401857,194.23800000000003,2.3385024046054275,0.0,5240.322580645161,5043.746078240555
平路加速,0.1,180.0,0.0,800.0,0.9999999999999999,3.057601922272023,11.007366920179283,3.0564394757624047,0.8499538548191521,180.0,894.7758134323162,18216.45761538385,0.002768710850878626,194.23800000000003,2.95944563719,0.0,5240.322580645161,5043.125135007971
平路加速,0.1,180.0,0.0,800.0,1.0999999999999999,3.363203816375896,12.107533738953226,3.0560189410387295,0.8499445729167403,180.0,984.2070704548325,20048.909209480964,0.0033256249955864307,194.23800000000003,3.6533279312560016,0.0,5240.322580645161,5042.4312527139045
平路加速,0.1,180.0,0.0,800.0,1.2,3.6687592387969046,13.207533259668857,3.055554224210084,0.8499344427799744,180.0,1073.6247280164334,21881.09541435044,0.00393343320154061,194.23800000000003,4.42011069851993,0.0,5240.322580645161,5041.664469946641
平路加速,0.1,180.0,0.0,800.0,1.3,3.9742637739185502,14.307349586106781,3.0550453512164566,0.8499234645439804,180.0,1163.0274939322815,23712.989747095773,0.004592127361182159,194.23800000000003,5.25975113800348,0.0,5240.322580645161,5040.824829507157
平路加速,0.1,180.0,0.0,800.0,1.4000000000000001,4.279713008973339,15.40696683230402,3.054492350547884,0.8499116383561373,180.0,1252.41407685127,25544.56574113803,0.005301698631769327,194.23800000000003,6.1722022411478425,0.0,5240.322580645161,5039.912378404013
平路加速,0.1,180.0,0.0,800.0,1.5000000000000002,4.585102534297443,16.506369123470794,3.0538952532410413,0.8498989643760688,180.0,1341.7831863305494,27375.796947743747,0.00606213743587332,194.23800000000003,7.157412797443856,0.0,5240.322580645161,5038.927167847717
平路加速,0.1,180.0,0.0,800.0,1.6000000000000003,4.890427943584993,17.605540596905975,3.0532540928755036,0.8498854427756348,180.0,1431.1335329099422,29206.65693755078,0.006873433461916397,194.23800000000003,8.215327400576891,0.0,5240.322580645161,5037.869253244584
平路加速,0.1,180.0,0.0,800.0,1.7000000000000004,5.195684834141968,18.704465402911087,3.052568905569748,0.8498710737389209,180.0,1520.4638281862406,31037.11930209169,0.007735575664752277,194.23800000000003,9.345886455085141,0.0,5240.322580645161,5036.738694190076
平路加速,0.1,180.0,0.0,800.0,1.8000000000000005,5.500868807139643,19.803127705702714,3.0518397299767486,0.8498558574622286,180.0,1609.7727848873756,32867.15765531479,0.008648552266288799,194.23800000000003,10.549026183530005,0.0,5240.322580645161,5035.53555446163
平路加速,0.1,180.0,0.0,800.0,1.9000000000000006,5.805975467867581,20.901511684323292,3.0510666072793846,0.8498397941540642,180.0,1699.0591169464549,34696.7456351023,0.009612350756152752,194.23800000000003,11.824678634177003,0.0,5240.322580645161,5034.259902010984
