scenario_id,scenario_name,phase_name,dt_s,t_cmd_nm,grade,wind_speed_mps,p_aux_w,time_s,v_mps,v_kph,a_mps2,soc,motor_torque_actual_nm,motor_speed_rpm,battery_power_w,battery_power_kw,cumulative_energy_kwh,distance_m,distance_km
scenario_4_regen_brake,场景4：减速 + 再生制动回收,驱动阶段,0.1,11.020855512465374,0.0,0.0,500.0,0.1,18.0,64.8,0.0,0.7999967093165735,11.020855512465374,5267.515213299504,7107.8762013729975,7.1078762013729975,0.00019744100559369437,1.8,0.0018
scenario_4_regen_brake,场景4：减速 + 再生制动回收,驱动阶段,0.1,11.020855512465374,0.0,0.0,500.0,0.2,18.0,64.8,0.0,0.799993418633147,11.020855512465374,5267.515213299504,7107.8762013729975,7.1078762013729975,0.00039488201118738873,3.6,0.0036
scenario_4_regen_brake,场景4：减速 + 再生制动回收,驱动阶段,0.1,11.020855512465374,0.0,0.0,500.0,0.30000000000000004,18.0,64.8,0.0,0.7999901279497205,11.020855512465374,5267.515213299504,7107.8762013729975,7.1078762013729975,0.0005923230167810831,5.4,0.0054
scenario_4_regen_brake,场景4：减速 + 再生制动回收,驱动阶段,0.1,11.020855512465374,0.0,0.0,500.0,0.4,18.0,64.8,0.0,0.7999868372662939,11.020855512465374,5267.515213299504,7107.8762013729975,7.1078762013729975,0.0007897640223747775,7.2,0.0072
scenario_4_regen_brake,场景4：减速 + 再生制动回收,驱动阶段,0.1,11.020855512465374,0.0,0.0,500.0,0.5,18.0,64.8,0.0,0.7999835465828674,11.020855512465374,5267.515213299504,7107.8762013729975,7.1078762013729975,0.0009872050279684718,9.0,0.009
scenario_4_regen_brake,场景4：减速 + 再生制动回收,驱动阶段,0.1,11.020855512465374,0.0,0.0,500.0,0.6,18.0,64.8,0.0,0.7999802558994409,11.020855512465374,5267.515213299504,7107.8762013729975,7.1078762013729975,0.0011846460335621662,10.8,0.0108
scenario_4_regen_brake,场景4：减速 + 再生制动回收,驱动阶段,0.1,11.020855512465374,0.0,0.0,500.0,0.7,18.0,64.8,0.0,0.7999769652160144,11.020855512465374,5267.515213299504,7107.8762013729975,7.1078762013729975,0.0013820870391558606,12.600000000000001,0.012600000000000002
scenario_4_regen_brake,场景4：减速 + 再生制动回收,驱动阶段,0.1,11.020855512465374,0.0,0.0,500.0,0.7999999999999999,18.0,64.8,0.0,0.7999736745325878,11.020855512465374,5267.515213299504,7107.8762013729975,7.1078762013729975,0.001579528044749555,14.400000000000002,0.014400000000000001
scenario_4_regen_brake,场景4：减速 + 再生制动回收,驱动阶段,0.1,11.020855512465374,0.0,0.0,500.0,0.8999999999999999,18.0,64.8,0.0,0.7999703838491613,11.020855512465374,5267.515213299504,7107.8762013729975,7.1078762013729975,0.0017769690503432493,16.200000000000003,0.016200000000000003
scenario_4_regen_brake,场景4：减速 + 再生制动回收,驱动阶段,0.1,11.020855512465374,0.0,0.0,500.0,0.9999999999999999,18.0,64.8,0.0,0.7999670931657348,11.020855512465374,5267.515213299504,7107.8762013729975,7.1078762013729975,0.0019744100559369437,18.000000000000004,0.018000000000000002
scenario_4_regen_brake,场景4：减速 + 再生制动回收,驱动阶段,0.1,11.020855512465374,0.0,0.0,500.0,1.0999999999999999,18.0,64.8,0.0,0.7999638024823083,11.020855512465374,5267.515213299504,7107.8762013729975,7.1078762013729975,0.002171851061530638,19.800000000000004,0.019800000000000005
scenario_4_regen_brake,场景4：减速 + 再生制动回收,驱动阶段,0.1,11.020855512465374,0.0,0.0,500.0,1.2,18.0,64.8,0.0,0.7999605117988817,11.020855512465374,5267.515213299504,7107.8762013729975,7.1078762013729975,0.0023692920671243324,21.600000000000005,0.021600000000000005
scenario_4_regen_brake,场景4：减速 + 再生制动回收,驱动阶段,0.1,11.020855512465374,0.0,0.0,500.0,1.3,18.0,64.8,0.0,0.7999572211154552,11.020855512465374,5267.515213299504,7107.8762013729975,7.1078762013729975,0.0025667330727180268,23.400000000000006,0.023400000000000004
scenario_4_regen_brake,场景4：减速 + 再生制动回收,驱动阶段,0.1,11.020855512465374,0.0,0.0,500.0,1.4000000000000001,18.0,64.8,0.0,0.7999539304320287,11.020855512465374,5267.515213299504,7107.8762013729975,7.1078762013729975,0.002764174078311721,25.200000000000006,0.025200000000000007
