scenario_id,scenario_name,phase_name,dt_s,t_cmd_nm,grade,wind_speed_mps,p_aux_w,time_s,v_mps,v_kph,a_mps2,soc,motor_torque_actual_nm,motor_speed_rpm,battery_power_w,battery_power_kw,cumulative_energy_kwh,distance_m,distance_km
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,0.1,0.1999582052785924,0.7198495390029327,1.9995820527859238,0.7999995835018684,120.0,58.515716018280585,899.6359642664714,0.8996359642664714,2.498988789629087e-05,0.00999791026392962,9.99791026392962e-06
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,0.2,0.3999154636197454,1.4396956690310834,1.9995725834115299,0.7999987969713127,120.0,117.03115492504072,1698.9060002526385,1.6989060002526384,7.218172123664195e-05,0.039991593708846515,3.9991593708846514e-05
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,0.30000000000000004,0.5998698811665178,2.159531572199464,1.9995441754677246,0.7999976404118376,120.0,175.5457625024888,2498.1684660875526,2.4981684660875527,0.00014157528973907397,0.08998086094815969,8.998086094815969e-05
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,0.4,0.7998195641426865,2.8793504309136715,1.9994968297616866,0.7999961138304525,120.0,234.05898455645442,3297.415791817133,3.297415791817133,0.00023317017284510546,0.1599653332136199,0.0001599653332136199
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,0.5,0.9997626189244906,3.5991454281281663,1.9994305478180407,0.7999942172376711,120.0,292.5702669373838,4096.640407953334,4.096640407953334,0.0003469657397326981,0.24994444236697874,0.00024994444236697876
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,0.6,1.1996971521123654,4.318909747604516,1.999345331878748,0.7999919506475109,120.0,351.07905556133187,4895.834745760897,4.895834745760897,0.0004829611493371675,0.35991743091882156,0.00035991743091882153
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,0.7,1.3996212706026596,5.0386365741695744,1.9992411849029423,0.7999893140774935,120.0,409.5847964309495,5694.991237544054,5.694991237544054,0.0006411553503800579,0.4898833520545728,0.0004898833520545728
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,0.7999999999999999,1.5995330816593305,5.75831909397359,1.9991181105667089,0.7999863075486431,120.0,468.0869356564645,6494.10231693315,6.49410231693315,0.0008215470814059787,0.6398410696676723,0.0006398410696676723
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,0.8999999999999999,1.799430692985611,6.4779504947482,1.9989761132628048,0.799982931085486,120.0,526.5849194766541,7293.160419171166,7.293160419171166,0.0010241348708274,0.8097892583999193,0.0008097892583999193
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,0.9999999999999999,1.9993122127956433,7.197523966064316,1.9988151981003233,0.7999791847160502,120.0,585.0781942798081,8092.157981400124,8.092157981400124,0.0012489170369774036,0.999726403688982,0.000999726403688982
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,1.0999999999999999,2.1991757498860736,7.917032699589865,1.9986353709043025,0.7999750684718637,120.0,643.5662066246799,8891.08744294733,8.89108744294733,0.0014958916881703849,1.2096508018230678,0.0012096508018230678
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,1.2,2.3990194137075993,8.636469889347358,1.9984366382152574,0.7999705823879537,120.0,702.0484032614241,9689.941245611477,9.689941245611477,0.0017650567227707036,1.4395605600027515,0.0014395605600027515
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,1.3,2.5988413144364686,9.355828731971288,1.998219007288693,0.7999657265028454,120.0,760.5242311525211,10488.71183394852,10.488711833948521,0.0020564098292692734,1.6894535964099548,0.0016894535964099549
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,1.4000000000000001,2.798639563045921,10.075102426965316,1.997982486094525,0.7999605008585604,120.0,818.9931374936814,11287.39165555737,11.28739165555737,0.0023699484863680892,1.9593276402840742,0.0019593276402840743
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,1.5000000000000002,2.998412271377566,10.794284176959238,1.9977270833164473,0.7999549055006153,120.0,877.454569734736,12085.973161365315,12.085973161365315,0.0027056699630726815,2.2491802320052487,0.0022491802320052487
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,1.6000000000000003,3.1981575522126926,11.513367187965693,1.9974528083512677,0.79994894047802,120.0,935.9079756005034,12884.448805913209,12.884448805913209,0.003063571318792493,2.559008723184762,0.002559008723184762
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,1.7000000000000004,3.3978735193435083,12.23234466963663,1.9971596713081574,0.7999426058432757,120.0,994.3528031116365,13682.811047640373,13.682811047640373,0.00344364940344917,2.888810276762572,0.002888810276762572
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,1.8000000000000005,3.597558287644295,12.951209835519462,1.9968476830078652,0.7999359016523733,120.0,1052.7885006054464,14481.05234916917,14.48105234916917,0.003845900857592758,3.238581867111962,0.003238581867111962
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,1.9000000000000006,3.797209973142479,13.669955903312925,1.9965168549818424,0.799928827964791,120.0,1111.2145167567005,15279.165177589275,15.279165177589276,0.004270322112525793,3.608320280151301,0.003608320280151301
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,2.0000000000000004,3.9968266930896155,14.388576095122616,1.9961671994713637,0.7999213848434925,120.0,1169.6303005983943,16077.142004741565,16.077142004741564,0.004716909390435281,3.9980221134629055,0.003998022113462905
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,2.1000000000000005,4.196406566032269,15.107063637716168,1.9957987294265322,0.7999135723549242,120.0,1228.0353015424948,16874.975307501663,16.874975307501664,0.00518565870453255,4.407683776419,0.004407683776419
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,2.2000000000000006,4.395947711882798,15.825411762778073,1.9954114585052896,0.7999053905690131,120.0,1286.4289694006543,17672.65756806307,17.67265756806307,0.005676565859200968,4.837301490314753,0.004837301490314754
scenario_1_flat_accel,场景1：平路恒定正扭矩加速,正扭矩加速,0.1,120.0,0.0,0.0,500.0,2.3000000000000007,4.5954482519900255,16.54361370716409,1.9950054010722784,0.7998968395591639,120.0,1344.8107544048928,18470.181274219878,18.47018127421988,0.00618962645015152,5.286871288508395,0.0052868712885083945
